Running.Test.Number,Test.Number.in.Iteration,Cost.Centric.Buffer,Cost.Centric.PDI,Conductance.Centric.Buffer,Conductance.Centric.PDI,DEM.error,Stochasticticity.error.for.time,Conductance.Value.Great.House,Conductance.Value.Great.Kiva,Conductance.Value.Earthen.Mound,Conductance.Value.Herradura
167,17,1.58150095,14494858.84,11.6053834,58703263.58,0.785399942,0.03233866,0.002999292,0.002399434,0.001919547,0.001535638
168,18,1.58150095,14494858.84,11.60337677,39324671.14,0.785399942,0.064782267,0.00345413,0.002763304,0.002210643,0.001768514
169,19,1.58150095,14494858.84,11.6053834,58703263.58,0.785399942,0.015580801,0.002364029,0.001891223,0.001512979,0.001210383
170,20,1.58150095,14494858.84,7.252843642,60503261.68,0.785399942,0.028549582,0.001536193,0.001228954,0.000983164,0.000786531
171,21,1.58150095,14494858.84,11.60337677,39324671.14,0.785399942,0.028721732,0.004123277,0.003298622,0.002638897,0.002111118
172,22,1.58150095,14494858.84,11.6053834,58703263.58,0.785399942,0.065622431,0.002584181,0.002067345,0.001653876,0.001323101
173,23,1.58150095,14494858.84,11.60337677,39324671.14,0.785399942,0.047508637,0.003847881,0.003078305,0.002462644,0.001970115
174,24,1.58150095,14494858.84,11.6053834,58703263.58,0.785399942,0.060497575,0.002661547,0.002129238,0.00170339,0.001362712
175,25,1.58150095,14494858.84,11.60337677,39324671.14,0.785399942,0.079393869,0.004390896,0.003512717,0.002810173,0.002248139
176,1,1.354425559,7146877.824,8.959020139,46534957.71,0.732909622,0.083414128,0.003610909,0.002888727,0.002310981,0.001848785
177,2,1.354425559,7146877.824,8.959015438,45703132.74,0.732909622,0.105265114,0.006437672,0.005150138,0.00412011,0.003296088
178,3,1.354425612,7091500.393,8.959020415,46577971.34,0.732909622,0.045071253,0.003016764,0.002413411,0.001930729,0.001544583
179,4,1.354425612,7091500.393,8.961945317,53462848.49,0.732909622,0.067233749,0.00257439,0.002059512,0.00164761,0.001318088
180,5,1.354425612,7091500.393,8.961945364,53471127.95,0.732909622,0.011441404,0.002533935,0.002027148,0.001621718,0.001297375
181,6,1.354425612,7091500.393,8.961945599,53512678.15,0.732909622,0.043555554,0.001130674,0.000904539,0.000723631,0.000578905
182,7,1.354425612,7091500.393,8.959020415,46577971.34,0.732909622,0.034432231,0.003254873,0.002603899,0.002083119,0.001666495
183,8,1.354095601,7651374.612,8.95575254,46568282.37,0.732909622,0.066262948,0.00331885,0.00265508,0.002124064,0.001699251
184,9,1.354095601,7651374.612,8.95575254,46568282.37,0.732909622,0.091173256,0.003363755,0.002691004,0.002152803,0.001722242
185,10,1.354095601,7651374.612,8.955752587,46576561.82,0.732909622,0.041687466,0.0020046,0.00160368,0.001282944,0.001026355
186,11,1.354095601,7651374.612,8.95575254,46568282.37,0.732909622,0.014530683,0.003524234,0.002819387,0.00225551,0.001804408
187,12,1.354095601,7651374.612,8.95575254,46568282.37,0.732909622,0.055752021,0.004262616,0.003410093,0.002728074,0.002182459
188,13,1.354095601,7651374.612,8.95575254,46568282.37,0.732909622,0.064636587,0.004335056,0.003468044,0.002774436,0.002219548
189,14,1.349885891,7681581.109,10.50800041,46592076.08,0.732909622,0.110028545,0.001572429,0.001257943,0.001006355,0.000805084
190,15,1.349885891,7681581.109,10.50800036,46583796.62,0.732909622,0.03809886,0.003879714,0.003103771,0.002483017,0.001986414
191,16,1.349885891,7681581.109,10.50800041,46592076.08,0.732909622,0.014900344,0.001643833,0.001315066,0.001052053,0.000841642
192,17,1.349885891,7681581.109,10.50800041,46592076.08,0.732909622,0.036441475,0.002485803,0.001988643,0.001590914,0.001272731
193,18,1.349885891,7681581.109,10.50800036,46583796.62,0.732909622,0.050397898,0.002736791,0.002189433,0.001751546,0.001401237
194,19,1.349885891,7681581.109,10.50800041,46592076.08,0.732909622,0.018536677,0.00159757,0.001278056,0.001022445,0.000817956
195,20,0.394459612,15954987.06,7.048780813,47261350.22,0.732909622,0.04731079,0.002655077,0.002124061,0.001699249,0.001359399
196,21,0.394459612,15954987.06,7.048780813,47261350.22,0.732909622,0.083454493,0.002159127,0.001727302,0.001381842,0.001105473
197,22,0.394459612,15954987.06,7.048780813,47261350.22,0.732909622,0.034493449,0.000908262,0.000726609,0.000581288,0.00046503
198,23,0.394459612,15954987.06,7.048780813,47261350.22,0.732909622,0.030248504,0.002832325,0.00226586,0.001812688,0.00145015
199,24,0.394459612,15954987.06,7.048780813,47261350.22,0.732909622,0.041092684,0.003447894,0.002758315,0.002206652,0.001765322
200,25,0.394459612,15954987.06,7.048780762,47249733.74,0.732909622,0.033480065,0.006481658,0.005185327,0.004148261,0.003318609
201,1,0.725308691,1390591.558,9.216931238,12361981.45,0.394597042,0.056981189,0.004621571,0.003697257,0.002957806,0.002366245
202,2,0.725308691,1390591.558,9.216927485,13002949.8,0.394597042,0.115499489,0.002519242,0.002015393,0.001612315,0.001289852
203,3,0.725308691,1390591.558,5.350095062,60833963.58,0.394597042,0.063404148,0.001228041,0.000982433,0.000785946,0.000628757
204,4,0.725308691,1390591.558,9.216931648,12286494.66,0.394597042,0.015931137,0.00396406,0.003171248,0.002536998,0.002029599
205,5,0.725308691,1390591.558,9.216931238,12361981.45,0.394597042,0.063367577,0.004424457,0.003539565,0.002831652,0.002265322
206,6,0.725308691,1390591.558,9.216927485,13002949.8,0.394597042,0.00987459,0.003142816,0.002514253,0.002011402,0.001609122
